FinInst,Quarter,Total.Assets,Total.Assets.,Loan..Lease.and.Other.Credit.Operations.by.Risk.Level,Short.and.Long.Term.Liabilities.and.Deferred.Income,Funding,Funding.,Stockholders..Equity,Equity.,Net.Income.,Net.Income,Cash.and.Equivalents.,Interbank.investments.,Securities.andFinancial.Derivatives.,Total.Loans.,Loan.Loss.Allowance.,Loans.,Total.Leases.,Leased.Fixed.Assets.,Creditor.for.Advanced.Residual.Value.,Creditors.for.Advanced.Residual.Value.,Lease.Loss.Allowance.,Leases.,Other.receivables.,Other.assets.,Adjusted.Fixed.Assets.,Adjusted.Total.Assets.,Credit.Income..,Lease.Income.,Security.Income.,Financial.Derivative.Net.Income.,Foreign.Exchange.Net.Income..,Gross.Insterest.Income..,Funding.Expenses.,Borrowing.and.Onlending.Expenses.,Lease.Expenses.,Foreign.Exchange.Net.Income.,Net.Loan.Loss.Provisions.,Interest.Expenses..,Net.Interest.Income.,Banking.Service.Fee.Income,Banking.Fee.Income.,Personnel.Expenses.,Administrative.Expenses.,Tax.Expenses..,Investment.Income,Other.Operating.Income.,Other.Operating.Expenses.,Other.Operating.Income.and.Expenses.,Net.Operating.Income.,Earnings.Before.Taxand.Profit.Sharing.,Net.Non.Operating.Income.,Income.Tax.Expenses,Profit.Sharing,Interests.on.Net.Equity.,BCB.Mandatory.Reserve.Income.,Demand.Deposits.,Saving.Deposits.,Interbank.Deposits.,Other.Deposits.,Time.Deposits.,Total.Deposits.,Repurchase.Agreements.,Real.Estate.Liabilities.,Agribusiness.Liabilities.,Financial.Liabilities.,Securities.Abroad.,Other.Funding.,Mortgage.and.real.estate.securities..credit.linked.security.and.commercial.paper.,Onlending.,Derivatives.,Other.Liabilities.,Short.and.Long.Term.Liabilities.,Deferred.Income.,Total.Liabilities.,X78301,X78302,X78303,X78304,X78305,X78306,X78307,X78308,X78309,X78310,Common.Equity.Tier.I..CET1..,Additional.Tier.I.,Tier.I.Capital.,Tier.II.Capital.,Total.Regulatory.Capital,Risk.weight.assets.for.credit.risk.,Risk.Weight.assets.for.market.risk.,RWAcam.,RWAcom.,RWAjur.,RWAacs.,RWA.for.operational.risk.,Total.Exposure.,Risk.weighted.assets..RWA..,Total.Exposure.or.Total.Assets,Common.Equity.Tier.I.Ratio.,Tier.I.Capital.Ratio.,Fixed.Asset.Ratio.,Fixed.Assets.Ratio,Regulatory.Capital.Ratio.,Total.Capital.Ratio,Institution.is.Required.to.Calculate.Total.Exposure,Institution.is.Required.to.Calculate.PR,Institution.Uses.Optional.Simplified.Methodology,Leverage.Ratio.,Total.Consolidated.Foreign.Assets,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27
1000080075,2017-03-31,998852463537.26,998852463537.26,381367454893.81,894277134694.68,715229900257.72,715229900257.72,104575328842.58,104575328842.58,4071043921.10001,4071043921.10001,11720834798.4,187723826187.18,212523706239.92,336277193560.56,-36192573216.24,300084620344.32,42155588.1,4423954618.06,1933404237.06,1933404237.06,-161167231.53,6238347211.69,150274058153.33,67476501613.41,64743973226.07,1000785867774.32,19328164168.86,525546589.83,12033714218.62,2011162040.68,41994069.2399999,35300603651.18,-17788529622.93,-869942222.52,-451162690.38,0,-8281278218.14,-27390912753.97,7909690897.21001,3411275341.39,2365732458.06,-4138658006.44,-5288295812.08,-1230036911.05,696434372.41,6745621017.7,-4606749808.3,-2044677348.31,5865013548.90001,5730795034.43001,-134218514.47,-1659751113.33,0,-1844885468.79,1360022563.95,30414468585.85,94352635080.62,570953606.08,489019323.86,111162214286.6,236989290883.01,267262670751.75,25622902323.71,9100797920.93,116499265497.9,2992271355.33,350514994.520037,154565752092.39,56412186530.57,15269415543.03,163373793315.75,893873109116.5,404025578.18,998852463537.26,0,0,0,0,0,0,0,0,-1.220703125e-4,9.5367431640625e-6,67915449765.83,5207121450,73122571215.83,19797079072.13,92919650287.96,546287464501.15,13097005405.41,3235147340.10322,20434539.6014699,9591781706.69736,249641819.007947,48156699190.24,1083956146548.25,607541169096.8,1083956146548.25,0.111787403422876,0.120358215928869,0.422945566065959,0.422945566065959,0.152943792148438,0.152943792148438,1,1,0,0.0674589755763474,32599527841.1943,201703,BRADESCO - PRUDENCIAL,b1,C,Conglomerado,2,Privado nacional,199,51,SP,OSASCO,S1,199,10045,80075,5330,1486,12899,,201701,81,BRADESCO - PRUDENCIAL,BRADESCO,,,X,U
1000080099,2017-03-31,1255125061903.28,1255125061903.28,478095380000.55,1126350572163.39,843418755481.54,843418755481.54,128774489739.89,128774489739.89,5490095945.08,5490095945.08,20104412627.03,270157823441.72,212342903118.09,417622565891.02,-33302671781.57,384319894109.45,6676801236.36,4436126168.22,2813570788.77,2813570788.77,-333085716.76,13593412476.59,220569705565.53,91252611146.05,45597870207.59,1257938632692.05,20090247614.98,440993215.69,14196622046.44,1896823846.61,129656712.26,38677732550.69,-19017473667.4,-1376155030.11,-307872766.24,0,-4825331206.95,-25526832670.7,13150899879.99,5958349594.63,2742718284.3,-4449045231.32,-5478400350.27,-1651413117.26,357937433.21,14792762892.66,-13862651317.63,-1589741811.68,11561158068.31,11587689808.21,26531739.9,-3049813346.63,-3047780516.5,-5047692802.97,1923389114.71,62053216077.12,107179804664.44,4415729262.78,440819414.3,152950677668.64,327040247087.28,348285877511.05,18438922685.38,15444400019.66,20044554113.78,36996290525.42,5441964288.39,96366131632.63,71726499250.58,23040453408.87,257936983309.35,1124396192199.76,1954379963.63,1255125061903.28,-6.103515625e-5,0,0,2.44140625e-4,0,-1.52587890625e-5,-1.220703125e-4,0,0,-3.814697265625e-6,110454108666.71,153654472.74,110607763139.45,19786307919.85,130394071059.3,642686999658.03,22032511783.2,3893860603.35752,467023786.830782,15839011092.3929,1832616300.61877,54417145954.12,1302425229097.09,719136657395.35,1302425229097.09,0.153592655207934,0.153806320400995,0.246049541608748,0.246049541608748,0.181320295271244,0.181320295271244,1,1,0,0.0849244629698468,135574501738.928,201703,ITAU - PRUDENCIAL,b1,C,Conglomerado,2,Privado nacional,199,51,SP,SAO PAULO,S1,199,10069,80099,3453,969,613,,201701,86,ITAU - PRUDENCIAL,ITAU,,,X,U
1000080109,2017-03-31,148691153268.29,148691153268.29,52346095661.3,139253125906.29,119356478073.43,119356478073.43,9438027362,9438027362,487178866.439999,487178866.439999,404739673.04,50306539376.97,34886576610.93,44304134099.99,-2465786776.27,41838347323.72,30388758.55,2269707937.89,1117266533.34,1117266533.34,-70497008.24,3346866221.54,12242117012.71,3003009845.87,3780223736.85,149808419801.63,1861032766.85,228621964.95,2976940548.65,100412056.21,2039059.66,5244170584.44,-3546806592.56,-173185714.38,-179228908.17,0,-277562761.37,-4176783976.48,1067386607.96,192413256.32,73006184.73,-549064115.86,-305853449.75,-91845986.25,92208623.42,466685435.7,-277986488.32,-400436540.01,666950067.949999,644145335.159999,-22804732.79,-156966468.72,0,0,75124188.12,586798985.42,1480068141.47,1883231517.98,144008.01,9365134480.81,13315377133.69,67468682991.73,1413741446.38,5948962196.12,14961116013.18,1483065025.37,2378701233.15,26185585914.2,12386832033.81,3996214114.78,15858345844.14,139211038032.35,42087873.94,148691153268.29,0,0,0,3.0517578125e-5,3.0517578125e-5,0,0,-3.0517578125e-5,-3.0517578125e-5,-1.07288360595703e-6,9351031364.96,952281392.52,10303312757.48,1936487074.21,12239799831.69,73467562893.04,4190147027.03,435757837.84,0,3286875675.68,467513513.51,6137422281.83,169754678268.76,83795132201.9,169754678268.76,0.111593968757388,0.122958368663405,0.302623199343495,0.302623199343495,0.146068148710582,0.146068148710582,1,1,0,0.0606953096230286,5324013159.85355,201703,SAFRA - PRUDENCIAL,b1,C,Conglomerado,2,Privado nacional,199,57,SP,SAO PAULO,S2,199,10083,80109,112,5,1,,201701,9,SAFRA - PRUDENCIAL,SAFRA,,,X,U
1000080116,2017-03-31,34036124936.06,34036124936.06,1202992441.51,29426665055.55,18410314803.44,18410314803.44,4609459880.51,4609459880.51,56891144.7100004,56891144.7100004,82439191.79,16639071282.05,8906792924.83,834702810.64,-2050747.4,832652063.24,0,0,0,0,0,0,7433939563.22,27705917.44,113523993.49,34036124936.06,78314000.16,0,864754350.750001,-393045046.440001,0,550023304.47,-419385842.73,-24110435.35,0,-18690885.45,-317195.57,-462504359.1,87518945.3700004,102149685.49,141928.7,-151938773.94,-45461923.79,-29108169.37,0,240346587.41,-82827735.06,33301599.44,120820544.81,120684137.85,-136406.96,-58514616.95,-5278376.19,0,0,109667708.35,0,0,0,3648531587.57,3758199295.92,5339764404.42,0,0,0,0,27153034.85,27153034.85,9285198068.25,2962984625.92,8051931846.39,29425231275.75,1433779.8,34036124936.06,0,0,0,0,0,0,0,0,0,-6.25848770141602e-7,4604032286.17,0,4604032286.17,0,4604032286.17,10014423534,7932638497.98,544397633.94,0,7093821369.55,294419494.49,2582624254.74,27341143298.34,20529686286.72,27341143298.34,0.224262184130315,0.224262184130315,0.0246569375499318,0.0246569375499318,0.224262184130315,0.224262184130315,1,1,0,0.168392090847552,NA,201703,JP MORGAN CHASE - PRUDENCIAL,b1,C,Conglomerado,3,Estrangeiro,199,59,SP,SAO PAULO,S3,199,20107,80116,8,1,,,201701,5,JP MORGAN CHASE - PRUDENCIAL,JP MORGAN CHASE,,,X,U
1000080123,2017-03-31,10292907063.09,10292907063.09,6303974571.24,9397109727.32,7726353646.93,7726353646.93,895797335.77,895797335.77,3497947.80000013,3497947.80000013,390337694.14,1508963523.75,1088645895.59,6148892684.21,-723872896.44,5425019787.77,0,0,0,0,0,0,1216066715.29,398769555.83,265103890.72,10292907063.09,643043921.22,0,76419370.12,-15439050.01,0,712438352.31,-243637412.63,-19075.25,0,-755246.26,-184117100.83,-428528834.97,283909517.34,11026815.59,45885954.23,-94034553.39,-142902795.11,-26503926.98,2762922.61,32660489.43,-96290179.2,-267395272.82,16514244.5200001,7690292.16000013,-8823952.36,-4058648.85,-133695.51,0,8414110.98,242141841.17,187333438.49,43417956.12,0,6389469875.66,6862363111.44,236104610.09,41600268.52,309262300.27,206790736.38,70232620.23,1.49011611938477e-8,627885925.4,0,2372498.3,1667672404.25,9396398549.48,711177.84,10292907063.09,0,0,0,-1.9073486328125e-6,0,0,0,0,1.9073486328125e-6,1.77882611751556e-7,593472307.49,1127905.69,594600213.18,395084877.81,989685090.99,5929781706.33,4291096.41,3072264.17,0,1218832.24,0,1086394726.37,10387237401.53,7020467529.11,10387237401.53,0.0845345847736206,0.0846952443999665,0.242541100656536,0.242541100656536,0.140971393555532,0.140971393555532,1,1,0,0.0572433449044322,36581619.6282035,201703,MERCANTIL DO BRASIL - PRUDENCIAL,b1,C,Conglomerado,2,Privado nacional,199,58,MG,BELO HORIZONTE,S3,199,20152,80123,194,36,3,,201701,6,MERCANTIL DO BRASIL - PRUDENCIAL,MERCANTIL DO BRASIL,,,X,U
1000080130,2017-03-31,905519564.4,905519564.4,10338392.17,893096140.97,418249252.47,418249252.47,12423423.43,12423423.43,-31494510.08,-31494510.08,3658293.56,104999771.08,136747954.5,38392.05,-191.96,38200.09,0,0,0,0,0,0,321595168.13,336831343.68,1648833.36,905519564.4,3174.13,0,7150288.36,0,121400.89,7274863.38,-25979313.79,0,0,0,-28238.11,-26007551.9,-18732688.52,1218377.77,82138.96,-7220051.75,-7578913.45,-160743.44,2022.06,26929634.14,-24359295.21,-11086830.92,-29819519.44,-31492341.39,-1672821.95,-2168.69,0,0,0,7472898.31,0,0,638888.8,332295067.47,340406854.58,0,0,0,24352966.7,0,53489431.19,77842397.89,0,0,474841748.5,893091000.97,5140,905519564.4,5.96046447753906e-8,0,0,0,0,0,5.96046447753906e-8,0,1.19209289550781e-7,-7.45058059692383e-9,-209788116.11,0,-209788116.11,0,-209788116.11,533101382.19,4751547.48,4592769.43,0,158778.05,0,0,732347866.17,537852929.67,732347866.17,-0.390047361531926,-0.390047361531926,-0.0074161592358729,-0.0074161592358729,-0.390047361531926,-0.390047361531926,1,1,0,-0.286459653671336,NA,201703,BANIF - PRUDENCIAL,b1,C,Conglomerado,3,Estrangeiro,199,60,SP,SAO PAULO,S4,199,20255,80130,6,,,,201701,4,BANIF - PRUDENCIAL,BANIF,,,X,U
1000080147,2017-03-31,20892564539.82,20892564539.82,3754321614.6,19605447586.2,18825548304.92,18825548304.92,1287116953.62,1287116953.62,38453317.2100002,38453317.2100002,175829127.17,8102929420.69,7365938911.04,3391813606.57,-276971377.26,3114842229.31,77502.39,29546402.54,18199023.67,18199023.67,-986750.13,46836178.47,911105136.66,892429967.52,300852592.63,20910763563.49,195183730.95,2082823.97,579369107.31,0,2915942.74000001,789928827.53,-596859535.87,-5085677.92,-1484704.06,0,-42889296.17,-646319214.02,143609613.51,43369998.11,24648655.72,-84060248.72,-61321526.51,-15036590.52,4947683.87,20701197.84,-15720276.18,-82471106.39,61138507.1200002,62292934.2400002,1154427.12,-18632303.23,-5207313.8,-15000000,10377222.56,976257084.65,2516203786.62,129130531.54,16787883.33,6088206334.73,9726585620.87,8085219545.8,411721040.86,236334080.95,0,0,-5.96046447753906e-8,648055121.81,365688016.44,0,776017724.19,19601566029.11,3881557.09,20892564539.82,-1.9073486328125e-6,0,0,7.62939453125e-6,3.814697265625e-6,0,-3.814697265625e-6,-3.814697265625e-6,-3.814697265625e-6,3.57627868652344e-7,1253414742.75,0,1253414742.75,0,1253414742.75,5283272864.14,157309760.86,11042547.24,0,146267213.62,0,1402327787.35,19072556846.86,6842910412.35,19072556846.86,0.183169830849729,0.183169830849729,0.216072358855299,0.216072358855299,0.183169830849729,0.183169830849729,1,1,0,0.0657182334185233,NA,201703,BANESTES - PRUDENCIAL,b1,C,Conglomerado,1,Público,199,53,ES,VITORIA,S3,199,30159,80147,131,27,250,,201701,2,BANESTES - PRUDENCIAL,BANESTES,,,X,U
1000080154,2017-03-31,68939583503,68939583503,30540011574.33,62454818512.36,53336274553.46,53336274553.46,6484764990.64,6484764990.64,128530106.180001,128530106.180001,810742735.09,636754050.09,22087652084.63,27573479552.9,-2600349833.46,24973129719.44,328729.68,102870335.44,52557217.68,52557217.68,-7117345.41,148638937.39,7085115244.08,11672764450.92,1577343499.04,68992140720.68,1662587667.49,9756518.69,674577759.16,-91503276.09,19398842.28,2574554892.02,-1295093242.12,-85352157.51,-7410931.07,0,-176894127.26,-1564750457.96,1009804434.06,74449263.16,338021949.87,-558306886.34,-416519627.32,-105523060.17,6131470.01,211549515.99,-382987823.81,-833185198.61,176619235.450001,182501901.960001,5882666.51,-30368015.52,-23603780.26,-81061067.53,299737380.49,2591959523.53,7705484067.35,277852724.88,6059281.57,32496623723.03,43077979320.36,4985964552.55,900017221.73,0,959014582.36,0,-1.19209289550781e-7,1859031804.09,3413298876.46,528051040.16,8554321233.7,62418646827.32,36171685.04,68939583503,0,0,0,0,0,2.38418579101563e-7,0,0,0,5.21540641784668e-7,5149733345.47,0,5149733345.47,888287694.68,6038021040.15,29194751636.47,1262709642.37,1224710883.89,0,1756842.27,36241916.21,7810214470.16,71881762682.35,38267675749,71881762682.35,0.134571364596256,0.134571364596256,0.0910395325132855,0.0910395325132855,0.157783845555548,0.157783845555548,1,1,0,0.0716417232035196,251044398.967933,201703,BANRISUL - PRUDENCIAL,b1,C,Conglomerado,1,Público,199,53,RS,PORTO ALEGRE,S2,199,30173,80154,537,200,489,,201701,5,BANRISUL - PRUDENCIAL,BANRISUL,,,X,U
1000080178,2017-03-31,15377861094.67,15377861094.67,7914226344.54,12734819082.97,8722149753.61,8722149753.61,2643042011.7,2643042011.7,7024953.94000014,7024953.94000014,34662508.59,771077271.75,2359460017.73,7640907894.35,-475473985.66,7165433908.69,20786.36,1871069.72,1808796.88,1808796.88,-83059.19,3617593.77,3925422932.22,299691862.96,820303795.84,15379669891.55,642886608.59,143893.06,88747285.34,-151766047.64,7818389.7,587830129.05,-379365664.76,-21422836.95,-137746.15,0,-20538343.18,-421464591.04,166365538.01,6105689.26,3524046.67,-56915992.08,-224230657.35,-12560760.9,-7113790.63,227182049.99,-87127070.84,-151136485.88,15229052.1300001,51506873.7200001,36277821.59,-17847065.26,-26634854.52,0,0,27267865.6,0,100387528.16,0,6658950731.98,6786606125.74,11999433.28,26747664.64,158694814.84,615828208.47,592356476.07,-1.19209289550781e-7,1393627164.02,529917030.57,778521523.19,3234147806.17,12734819082.97,0,15377861094.67,0,0,0,1.9073486328125e-6,0,0,0,0,1.9073486328125e-6,8.5681676864624e-8,956401695.56,0,956401695.56,592441000,1548842695.56,8146513581.33,62987248.39,11351131.5,0,51636116.89,0,69901147,14415979707.01,8279401976.72,14415979707.01,0.115515794286738,0.115515794286738,0.198753269114216,0.198753269114216,0.187071807832864,0.187071807832864,1,1,0,0.0663431632811563,57777714.0354753,201703,BMG - PRUDENCIAL,b1,C,Conglomerado,2,Privado nacional,199,58,SP,SAO PAULO,S3,199,30290,80178,31,,,,201701,7,BMG - PRUDENCIAL,BMG,,,X,U
1000080185,2017-03-31,713380964296.7,713380964296.7,257168854126.87,650217926556.89,448508459108.97,448508459108.97,63163037739.81,63163037739.81,1901665057.55,1901665057.55,5400049511.14,52572015935.4,162181514298.6,214630751793.02,-16058441798.32,198572309994.7,22023215.12,5062901320.95,2295859416.12,2295859416.12,-66160669.1,7314623283.09,207883253745.92,67160378521.96,14592678422.01,715676823712.82,11542108610.14,500769447.58,6270246849.58,2052019518.22,1153652635.73,23222131221,-11525099691.48,-575693374.04,-397511971.58,0,-2928456816.27,-15426761853.37,7795369367.63,2556184942.1,996710634.42,-1847107425.73,-2766144753.78,-975397584.77,84473122.56,5877348857.32,-7633971969.08,-3707904176.96,4087465190.67,4025339899.85,-62125290.82,-1803239953.42,-320434888.88,0,1703334159.75,14613785496.17,36113896926.08,2044671614.51,255121676.56,95561883556.61,148589359269.93,160469917323.7,23733864631.67,7964787115.45,57397166919.05,3494130000.84,2418836721.02,95008785388.03,44440397127.31,21795473184.54,179371375986.06,649675308279.57,542618277.32,713380964296.7,0,0,0,0,1.220703125e-4,0,0,1.220703125e-4,1.220703125e-4,-1.9073486328125e-6,53760990863.69,4012325071.41,57773315935.1,4097518517.68,61870834452.78,316231665867.71,45318897297.3,8982659459.46,0,34831470270.27,1504767567.57,31914296228.43,619863093129.39,393464859393.44,619863093129.39,0.136634796171041,0.14683221272711,0.166148445619126,0.166148445619126,0.157246150388523,0.157246150388523,1,1,0,0.0932033485707793,28483441024.6434,201703,SANTANDER - PRUDENCIAL,b1,C,Conglomerado,3,Estrangeiro,199,51,SP,SAO PAULO,S1,199,30379,80185,2763,1192,1335,,201701,28,SANTANDER - PRUDENCIAL,SANTANDER,,,X,U
